Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Microsoft.VisualBasic.ni.dll","16,045","14,743",99.47,91.40,
"System.Windows.Forms.ni.dll",768,755,4.76,4.68,
"mscorlib.ni.dll",376,181,2.33,1.12,
"System.ni.dll",110,110,0.68,0.68,
"System.Management.dll",98,98,0.61,0.61,
"clr.dll",56,54,0.35,0.33,
"VRCM.exe","16,046",48,99.47,0.30,
"KernelBase.dll",43,43,0.27,0.27,
"ntdll.dll",35,35,0.22,0.22,
"SophosAmsiProvider.dll",77,19,0.48,0.12,
"System.Data.ni.dll",81,16,0.50,0.10,
"MySql.Data.dll",236,13,1.46,0.08,
"kernel32.dll",6,6,0.04,0.04,
"System.Drawing.ni.dll",4,4,0.02,0.02,
"System.Transactions.ni.dll",3,3,0.02,0.02,
"hmpalert.dll",23,1,0.14,0.01,
"user32.dll",1,1,0.01,0.01,
"wow64cpu.dll",1,1,0.01,0.01,
